id,penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_informative,flip_y,time,my_time
119,elasticnet,0.1049491339292068,0.0001,500,505,-1,1339,1047,7,11,0.07623611207873456,5.622286558151245,7.12949
120,l1,0.8360163655301228,0.01,113,7,2,624,816,9,11,0.013258723570293719,1.7052292823791504,1.354444
121,elasticnet,0.26348436983255996,0.01,112,664,4,1047,179,5,9,0.02041296464407203,0.4028890132904053,0.318914
122,l1,0.3371130031732249,0.0001,444,539,8,719,118,10,12,0.09192012128462498,0.9043483734130859,0.719996
123,l2,0.4190103259407313,0.001,907,868,4,1321,1026,3,5,0.01777848685993464,1.7074494361877441,1.49584
124,elasticnet,0.7352769394323213,0.001,510,999,-1,281,343,4,8,0.059310243115288847,0.5090444087982178,0.421728
125,elasticnet,0.405188893352746,0.0001,442,119,-1,578,1035,7,9,0.05684392226883268,2.212547540664673,3.010836
126,elasticnet,0.8153791073838983,0.0001,957,532,1,1395,802,3,7,0.002301650560204449,22.321520566940308,17.016625
127,elasticnet,0.40508938923757987,0.0001,122,792,4,497,1030,4,9,0.0587772050512989,0.5045254230499268,0.436378
128,none,0.7006973175181508,0.0001,119,202,4,433,863,9,11,0.09626130119241998,0.20279216766357422,0.226775
129,l1,0.6968173363303647,0.0001,719,538,4,444,838,10,9,0.019043847532037552,4.8104331493377686,4.108746
130,l2,0.25880806784071453,0.01,522,539,2,1275,883,4,7,0.011512891228157985,1.5058014392852783,1.180929
131,l1,0.12837049469273165,0.01,452,55,4,256,1095,6,7,0.042865430980721625,1.5052189826965332,1.248115
132,l2,0.4808896554154394,0.001,451,12,8,1231,262,6,10,0.034021235049915326,0.40491652488708496,0.32887
133,elasticnet,0.2563330003826425,0.0001,334,368,4,873,1024,8,8,0.0732364142601657,4.510543346405029,4.043308
134,l2,0.8339017698004697,0.0001,350,42,1,936,1397,5,8,0.07427856903219665,2.8975203037261963,2.121144
135,l1,0.12520033669976255,0.0001,711,892,8,267,142,2,9,0.08400974351447925,0.15279865264892578,0.096113
136,elasticnet,0.8311281496850275,0.001,592,769,1,191,805,8,7,0.02997324597153236,5.008789539337158,3.585996
137,elasticnet,0.49128625871290266,0.01,707,127,8,1074,508,8,7,0.07910161127240986,3.209592342376709,3.108651
138,elasticnet,0.703836507347481,0.01,600,381,4,1284,830,3,7,0.09583045881403164,4.411065578460693,3.125563
139,l2,0.6120403869468257,0.01,552,180,-1,1172,756,2,8,0.04739655021636592,0.6213223934173584,0.493096
140,elasticnet,0.6473433654917187,0.0001,934,582,-1,703,1190,2,8,0.012635685293174449,5.368126392364502,4.123918
141,elasticnet,0.760179375160248,0.001,701,0,-1,881,997,9,8,0.023105979287870573,4.818053483963013,9.507273
142,l1,0.5961669325409924,0.0001,464,924,1,1378,223,6,8,0.03714907049014589,6.450396299362183,4.08727
143,l1,0.8561765294656309,0.001,446,13,8,837,414,3,6,0.012444655123030869,1.1059157848358154,0.638171
144,l2,0.87581151241005,0.01,431,19,4,1256,761,2,7,0.09004000505540859,0.5288445949554443,0.430801
145,l1,0.8841546810920161,0.01,190,192,4,194,1037,3,7,0.06906086446297414,0.3029060363769531,0.220071
146,none,0.3105053708396982,0.0001,761,671,1,1021,1362,9,11,0.09794672020043126,11.715166091918945,8.914103
147,l1,0.8244612312243246,0.0001,902,99,1,107,1384,8,8,0.01568210809097097,5.963968276977539,6.359867
148,none,0.18641051921546872,0.001,286,740,4,321,861,10,9,0.09148767335931408,0.303084135055542,0.321468
149,none,0.12416729864913378,0.0001,434,745,-1,1351,1020,3,9,0.011966248770899203,0.8112385272979736,0.687594
150,l2,0.37946126282719284,0.01,511,919,-1,742,146,8,11,0.014524126069923616,0.20758461952209473,0.216635
151,elasticnet,0.6802725094117619,0.0001,326,600,1,128,572,5,10,0.05486076773667449,0.8356008529663086,0.612235
152,elasticnet,0.3484600028279943,0.001,664,397,-1,476,548,6,11,0.04373877718496632,1.510129690170288,1.337078
153,l2,0.41493716036251405,0.0001,953,74,2,385,545,8,10,0.06786767159664116,1.203916072845459,0.836124
154,none,0.7765813224622513,0.0001,221,628,-1,536,655,10,9,0.019354151133846555,0.2071692943572998,0.230126
155,none,0.6022795080343182,0.0001,476,641,-1,1311,1123,6,9,0.09946763078717959,0.9102890491485596,0.90185
156,l1,0.29807791606074985,0.001,952,819,1,717,814,6,8,0.0835157090821635,18.201372385025024,12.100225
157,l2,0.27532609611273096,0.01,454,778,2,999,458,7,10,0.08219949361089096,1.305962324142456,1.046001
158,none,0.28694042139889997,0.001,778,282,4,553,1333,7,8,0.0345590492677882,1.4059817790985107,1.185274
159,l1,0.6967468352361912,0.001,143,554,8,141,1226,2,8,0.05774673445699701,0.13934731483459473,0.154541
160,none,0.4686887744820768,0.01,958,646,1,194,181,3,7,0.07428620605724594,0.1424884796142578,0.109454
161,elasticnet,0.22178689402827603,0.01,640,964,4,485,857,4,10,0.08763354763024368,2.0057997703552246,1.45639
162,l1,0.8720900849371241,0.01,352,558,2,1197,675,9,7,0.06407359069245791,8.816213369369507,5.671358
163,none,0.4380623732022222,0.01,204,98,-1,166,803,6,7,0.005976656557488136,0.10828185081481934,0.121272
164,none,0.6997546821124712,0.01,943,838,2,343,1195,8,9,0.018574091108678126,1.9051475524902344,1.453512
165,l1,0.1996834274147611,0.0001,880,789,8,639,1191,9,11,0.09240495578715298,7.415954828262329,9.119193
166,l1,0.5253313526383535,0.01,898,874,4,338,1064,6,10,0.06869228439620877,3.8081507682800293,3.28123
167,none,0.7056203574859268,0.01,900,878,4,184,1076,5,9,0.023849230202231387,0.5030546188354492,0.430456
168,elasticnet,0.5071485494253326,0.0001,727,881,-1,663,900,10,9,0.04199537066854733,3.6182000637054443,7.60848
169,l1,0.36182813608605646,0.01,948,732,1,271,1063,4,8,0.05031378137724033,5.927548408508301,3.731537
170,elasticnet,0.5332208011519418,0.001,878,447,1,160,227,10,9,0.02178879091357925,2.075516700744629,1.578784
171,none,0.7848266080977478,0.01,726,559,1,1048,357,10,8,0.07611581092819773,4.705183267593384,3.324994
172,l2,0.49044313122331307,0.01,732,871,1,299,1081,7,8,0.05165195743601847,2.028899669647217,1.530342
173,elasticnet,0.2834518173072904,0.01,911,612,2,760,724,10,11,0.03339080103655114,16.92639994621277,11.921924
174,l2,0.2334250399639246,0.01,780,810,4,1142,1079,10,11,0.020693493322421253,3.7097811698913574,3.153685
175,none,0.8033988507110407,0.01,761,303,2,145,1318,4,9,0.045213328946626934,0.40271997451782227,0.318241
176,l1,0.386435973088055,0.01,202,873,8,867,999,6,7,0.07497882988768294,1.2064356803894043,1.466722
177,l1,0.4970700928878692,0.01,420,883,1,886,1213,5,9,0.09976021843432287,12.56846570968628,9.114085
178,elasticnet,0.7683199314506907,0.0001,715,91,1,1107,757,8,10,0.07566912215851763,33.45044708251953,25.17718
179,elasticnet,0.4757739372841757,0.0001,414,872,2,1017,872,7,8,0.07886476703433491,10.519328832626343,8.197346
180,elasticnet,0.40702608645777083,0.001,147,299,4,543,1039,10,12,0.05750018807569823,1.9061293601989746,1.868227
181,elasticnet,0.6751892656541292,0.001,389,574,4,906,147,7,11,0.0773735238633318,1.304673671722412,0.726727
182,none,0.3961017771946085,0.0001,159,556,4,999,1000,7,8,0.0038567366058669286,0.5043346881866455,0.462765
183,l1,0.8384629900607877,0.001,998,418,-1,831,193,10,8,0.050863895829331644,1.8120307922363281,2.147045
184,l2,0.7006602417198378,0.0001,930,899,2,700,1152,8,11,0.03927303772701865,3.7085418701171875,3.212854
185,elasticnet,0.5634396550613812,0.01,875,177,-1,802,676,8,10,0.09958620792583006,3.612759590148926,5.131319
186,elasticnet,0.5880191539602052,0.0001,856,573,2,1029,306,8,7,0.015516411625137928,9.815907955169678,6.262844
187,elasticnet,0.32667499375702597,0.01,427,128,4,913,572,6,10,0.03867852944414396,3.4090800285339355,2.481682
188,l1,0.15805986621490398,0.01,782,26,-1,308,1192,3,6,0.013620028346648983,1.7116775512695312,1.558497
189,l1,0.695892457449826,0.001,105,374,2,1058,549,7,7,0.008472213627560099,1.5047574043273926,1.058179
190,l2,0.34933819925632675,0.01,907,329,4,164,779,7,7,0.020502178320654176,0.3030436038970947,0.318536
191,none,0.10035576805598936,0.01,374,640,2,750,504,7,10,0.07847938720487135,0.9034280776977539,0.636726
192,elasticnet,0.6235250136912234,0.0001,692,120,4,144,1206,5,8,0.09437394007287189,1.8065874576568604,1.53532
193,l1,0.12251804173421839,0.0001,228,140,4,395,931,5,7,0.04606709140610225,1.0063190460205078,0.948094
194,none,0.18819013051869302,0.01,876,414,2,776,717,9,10,0.02150673988079186,3.207613706588745,2.488429
195,l2,0.4000904563301678,0.001,824,320,8,676,1199,6,8,0.09568902370285137,1.0061206817626953,0.869317
196,l1,0.7950434147675838,0.0001,998,198,1,1358,323,2,8,0.07102989778605871,3.6605052947998047,2.222102
197,none,0.17815513409420947,0.001,670,939,1,559,178,7,8,0.07360812446344987,0.7782354354858398,0.542156
198,elasticnet,0.6150780459753127,0.001,435,286,8,769,347,9,12,0.0669126121159188,1.9073288440704346,1.861123
199,none,0.6292445618431122,0.0001,781,974,1,703,1130,3,8,0.00479370202774675,2.2772810459136963,1.729218
200,elasticnet,0.43981124252806236,0.0001,788,264,8,965,804,2,7,0.010796368111808896,4.2321617603302,3.104147
201,none,0.38181673953432094,0.01,300,245,8,206,1341,7,8,0.03264228235937634,0.2058713436126709,0.118499
202,none,0.1702093845288622,0.01,761,828,-1,1198,587,10,9,0.02056712770099589,1.210453748703003,1.589528
203,elasticnet,0.7506880152633376,0.001,489,22,8,1026,252,3,8,0.07544834849183918,1.5060689449310303,0.825386
204,l1,0.8591389931905178,0.0001,728,309,8,384,715,4,10,0.029505997525248674,1.3054633140563965,0.93528
205,elasticnet,0.4295577522720547,0.001,884,330,-1,179,1382,3,10,0.0668309470904093,1.7083375453948975,1.344907
206,l2,0.3348326267263804,0.0001,301,970,8,984,1299,6,8,0.03460422461749979,0.6061618328094482,0.605083
207,none,0.16587356671576725,0.0001,536,966,4,1077,714,7,10,0.07479540450556216,1.1051642894744873,0.969309
208,l2,0.4443395482743877,0.0001,436,901,8,1253,899,5,11,0.043947201381904936,0.7074253559112549,0.780781
209,none,0.21420062856665423,0.01,836,843,-1,124,1364,2,7,0.024646386475930628,0.17374348640441895,0.148621
210,l2,0.5131784596913458,0.001,441,590,8,659,892,7,10,0.02344259356858497,0.40451645851135254,0.445401
211,none,0.12638957622863148,0.001,454,0,8,435,1088,6,10,0.08176526588622468,0.3041980266571045,0.333053
212,none,0.8188461465074759,0.001,580,440,-1,1123,1304,5,9,0.09853672927430478,1.211944580078125,1.221444
213,l1,0.29688791031094597,0.01,486,881,8,872,459,5,9,0.027269985955279564,1.4066367149353027,1.247074
214,l1,0.7117987054728883,0.001,976,890,1,877,1239,7,8,0.0816200198024904,41.099969148635864,36.918234
215,l1,0.827761686923248,0.001,790,634,4,1231,1119,5,8,0.08610066034887953,12.124454498291016,11.710169
216,l1,0.32940324106634866,0.001,994,826,4,129,410,10,9,0.009375232873258688,1.0036897659301758,0.622478
217,elasticnet,0.682297932035133,0.001,907,766,8,964,385,10,11,0.010855684028833412,5.414001941680908,4.733183
218,none,0.2887290985025336,0.01,131,75,-1,546,909,9,8,0.05768657483675012,0.20639276504516602,0.226421
219,elasticnet,0.8270556592617604,0.001,269,549,2,1172,505,2,9,0.0017068346111223653,1.0941917896270752,0.853233
220,l1,0.6561880718714065,0.0001,125,866,8,643,1099,10,9,0.06992101848322292,1.106264591217041,1.473978
221,l1,0.40872898008363956,0.01,162,58,2,1250,765,6,9,0.08967714034787568,3.009803056716919,1.8881
222,l2,0.5067299102164502,0.01,929,902,1,1377,758,8,9,0.00625572075128349,9.905338764190674,7.224484
223,l2,0.2789377639520625,0.0001,960,413,8,1192,878,8,7,0.014781465982586152,1.708986759185791,1.402254
224,elasticnet,0.22678993681151668,0.001,844,441,2,1015,1108,9,9,0.08206703007227559,29.54931640625,20.03738
225,l1,0.852563818222324,0.0001,175,180,-1,912,1339,3,9,0.02624161927682339,1.3102409839630127,1.105246
226,none,0.401610099454231,0.01,475,452,1,513,442,9,12,0.01118796084026409,1.2841169834136963,0.921792
227,none,0.5596441292585953,0.0001,753,803,1,309,1192,4,8,0.09065256463588917,1.3536787033081055,0.983894
228,elasticnet,0.4941388653420732,0.01,214,646,2,1045,1332,5,6,0.024754634401136157,6.013674259185791,4.386408
229,l2,0.5289459017296293,0.001,533,293,8,647,1131,4,6,0.05992758696653432,0.6070518493652344,0.45185
230,l1,0.791422268135568,0.0001,554,985,-1,187,440,6,7,0.004922048076479069,0.3080265522003174,0.319402
231,elasticnet,0.7620186054268553,0.001,634,192,1,594,383,10,8,0.06459006549732603,10.086698532104492,7.202535
232,elasticnet,0.32499143094942706,0.001,685,470,4,746,675,8,10,0.08226100528987083,5.210977554321289,3.708711
233,elasticnet,0.21763248948414635,0.0001,260,580,1,1215,1380,8,11,0.07287169135969516,24.66118860244751,22.117496
234,l2,0.24185378749125494,0.001,156,580,8,100,1260,9,8,0.08913541076492594,0.10482621192932129,0.114221
235,l1,0.18304183022480489,0.01,340,21,8,815,1164,8,11,0.0384448810865959,2.2075717449188232,2.721788
236,l2,0.7556315433172911,0.01,639,295,8,335,621,3,5,0.09986641339051534,0.20424723625183105,0.217559
237,none,0.5139094610201376,0.01,901,547,2,1030,373,2,8,0.048922753432429356,0.5062339305877686,0.381214
238,elasticnet,0.6241985099912714,0.001,428,470,2,774,1254,7,8,0.04268408833321339,11.620301961898804,9.302442
239,none,0.1639336340184217,0.01,876,139,2,975,608,3,9,0.016329502963466337,1.6052749156951904,1.164235
240,none,0.4378668081553493,0.0001,997,345,4,1124,629,7,8,0.012504928632228485,1.9061775207519531,1.476575
241,elasticnet,0.3057990668918823,0.0001,916,338,2,925,387,9,10,0.09620469598108712,12.821562051773071,8.609151
242,none,0.304947180015529,0.01,414,809,1,921,1317,9,9,0.01941309015868642,5.6942057609558105,4.199345
243,l2,0.5563951116641057,0.0001,672,910,4,584,1269,9,9,0.08666837789869473,1.906991958618164,1.471605
244,elasticnet,0.23295656150307967,0.01,524,638,4,477,959,5,8,0.06684093753401638,3.208259344100952,2.476325
245,elasticnet,0.491496469397505,0.01,177,283,2,325,1076,6,7,0.06326520936197075,1.4044926166534424,1.046236
